duty,voltage,current,power
0.0,15.0381,0.00137,0.02056
1.0,14.7686,0.00149,0.02201
2.0,13.7445,0.0018,0.02473
3.0,11.858,0.00215,0.02544
4.0,9.8637,0.00247,0.02441
5.0,9.4864,0.00323,0.03068
6.0,8.4623,0.00382,0.03229
7.0,8.4084,0.00488,0.04107
8.0,8.4084,0.00615,0.05168
9.0,9.2169,0.0083,0.07653
10.0,8.1928,0.00894,0.07322
11.0,8.1928,0.01066,0.08732
12.0,8.7318,0.01337,0.11672
13.0,8.1928,0.01459,0.11954
14.0,7.546,0.01548,0.11678
15.0,7.3843,0.01729,0.12764
16.0,7.3304,0.01943,0.14245
17.0,7.1148,0.02121,0.15089
18.0,7.0609,0.02352,0.16607
19.0,6.9531,0.02573,0.17892
20.0,7.2765,0.02977,0.2166
21.0,7.007,0.03154,0.22099
22.0,6.468,0.03189,0.20628
23.0,6.3063,0.03393,0.214
24.0,6.6836,0.03911,0.26136
25.0,5.7134,0.03623,0.20699
26.0,5.9829,0.04099,0.24523
27.0,6.3063,0.04655,0.29353
28.0,5.4978,0.0436,0.23972
29.0,5.8751,0.04994,0.29342
30.0,5.8751,0.05341,0.31379
31.0,5.0666,0.04915,0.24903
32.0,5.39,0.05568,0.30013
33.0,4.851,0.05327,0.25841
34.0,4.7971,0.05589,0.26811
35.0,4.312,0.05321,0.22946
36.0,4.9049,0.06401,0.31398
37.0,3.8269,0.05274,0.20182
38.0,4.312,0.06266,0.27018
39.0,4.2042,0.06433,0.27045
40.0,4.0964,0.06591,0.27001
41.0,3.6113,0.06103,0.22041
42.0,3.8808,0.06881,0.26704
43.0,3.7191,0.0691,0.25701
44.0,3.234,0.0629,0.20343
45.0,3.1801,0.06469,0.20571
46.0,3.5574,0.0756,0.26893
47.0,3.1262,0.06934,0.21678
48.0,2.0482,0.04738,0.09704
49.0,2.2638,0.05456,0.12351
50.0,2.5872,0.06492,0.16795
51.0,2.3716,0.0619,0.1468
52.0,2.1021,0.05703,0.11989
53.0,2.156,0.06076,0.13099
54.0,2.3716,0.06937,0.16452
55.0,1.617,0.04906,0.07933
56.0,1.9404,0.06103,0.11842
57.0,1.9404,0.06322,0.12267
58.0,1.7248,0.05818,0.10035
59.0,1.4014,0.04891,0.06854
60.0,1.5631,0.05641,0.08818
61.0,1.4553,0.05428,0.079
62.0,1.5092,0.05815,0.08776
63.0,1.5631,0.06218,0.0972
64.0,1.3475,0.05532,0.07454
65.0,1.2397,0.05249,0.06507
66.0,1.1319,0.04941,0.05593
67.0,1.1858,0.05334,0.06325
68.0,1.2397,0.05744,0.0712
69.0,1.1858,0.05656,0.06707
70.0,0.9163,0.04498,0.04122
71.0,0.7546,0.03811,0.02876
72.0,0.539,0.02799,0.01509
73.0,0.6468,0.03453,0.02233
74.0,0.8624,0.0473,0.04079
75.0,0.6468,0.03644,0.02357
76.0,0.539,0.03118,0.01681
77.0,0.4851,0.02881,0.01397
78.0,0.3234,0.01971,0.00637
79.0,0.4312,0.02695,0.01162
80.0,0.2695,0.01727,0.00465
81.0,0.3234,0.02125,0.00687
82.0,0.2695,0.01815,0.00489
83.0,0.2156,0.01487,0.00321
84.0,0.2156,0.01523,0.00328
85.0,0.1617,0.0117,0.00189
86.0,0.1078,0.00798,0.00086
87.0,0.1078,0.00817,0.00088
88.0,0.1617,0.01254,0.00203
89.0,0.0539,0.00427,0.00023
90.0,0.0539,0.00437,0.00024
0.0,14.9842,0.00136,0.02041
1.0,14.8225,0.0015,0.02217
2.0,13.6367,0.00179,0.02434
3.0,11.8041,0.00214,0.02521
4.0,8.8935,0.00223,0.01985
5.0,8.624,0.00294,0.02535
6.0,8.4084,0.00379,0.03188
7.0,8.3545,0.00485,0.04055
8.0,8.3006,0.00607,0.05036
9.0,8.2467,0.00743,0.06127
10.0,8.1389,0.00888,0.07226
11.0,7.9772,0.01038,0.08278
12.0,8.7318,0.01337,0.11672
13.0,8.085,0.0144,0.11641
14.0,7.4921,0.01537,0.11512
15.0,7.2765,0.01703,0.12395
16.0,6.8992,0.01829,0.12618
17.0,7.1687,0.02137,0.15319
18.0,6.9531,0.02316,0.16103
19.0,6.8992,0.02553,0.17616
20.0,7.3843,0.03021,0.22307
21.0,7.007,0.03154,0.22099
22.0,6.4141,0.03163,0.20286
23.0,6.1985,0.03335,0.20674
24.0,6.0907,0.03564,0.21705
25.0,5.6056,0.03554,0.19925
26.0,5.8751,0.04025,0.23647
