duty,voltage,current,power
0.0,11.1034,0.00101,0.01121
1.0,10.78,0.00109,0.01173
2.0,8.7857,0.00115,0.0101
3.0,6.2524,0.00113,0.00707
4.0,3.6652,0.00092,0.00337
5.0,3.3418,0.00114,0.00381
6.0,3.6113,0.00163,0.00588
7.0,3.1801,0.00185,0.00587
8.0,3.2879,0.0024,0.0079
9.0,3.6652,0.0033,0.0121
10.0,3.5574,0.00388,0.01381
11.0,3.2879,0.00428,0.01406
12.0,3.2879,0.00503,0.01655
13.0,3.0723,0.00547,0.01681
14.0,3.0184,0.00619,0.01869
15.0,3.1262,0.00732,0.02288
16.0,2.9645,0.00786,0.0233
17.0,3.0184,0.009,0.02716
18.0,2.695,0.00898,0.02419
19.0,2.8028,0.01037,0.02907
20.0,2.695,0.01103,0.02971
21.0,2.3716,0.01067,0.02532
22.0,2.4255,0.01196,0.02901
23.0,2.4794,0.01334,0.03308
24.0,2.156,0.01261,0.0272
25.0,2.4794,0.01572,0.03898
26.0,1.7787,0.01219,0.02167
27.0,2.156,0.01591,0.03431
28.0,1.9404,0.01539,0.02986
29.0,1.7787,0.01512,0.02689
30.0,1.9943,0.01813,0.03616
31.0,1.9404,0.01882,0.03653
32.0,1.7787,0.01838,0.03268
33.0,1.7248,0.01894,0.03267
34.0,1.6709,0.01947,0.03253
35.0,1.4553,0.01796,0.02614
36.0,1.4553,0.01899,0.02764
37.0,1.5092,0.0208,0.03139
38.0,1.3475,0.01958,0.02638
39.0,1.4553,0.02227,0.03241
40.0,1.4553,0.02342,0.03408
41.0,1.2936,0.02186,0.02828
42.0,1.2397,0.02198,0.02725
43.0,1.2397,0.02303,0.02856
44.0,1.078,0.02097,0.0226
45.0,1.2397,0.02522,0.03126
46.0,1.078,0.02291,0.0247
47.0,1.1858,0.0263,0.03119
48.0,1.0241,0.02369,0.02426
49.0,1.0241,0.02468,0.02528
50.0,0.9702,0.02434,0.02362
51.0,0.8624,0.02251,0.01941
52.0,0.6468,0.01755,0.01135
53.0,0.8085,0.02278,0.01842
54.0,0.6468,0.01892,0.01224
55.0,0.7546,0.0229,0.01728
56.0,0.539,0.01695,0.00914
57.0,0.539,0.01756,0.00947
58.0,0.4312,0.01454,0.00627
59.0,0.7546,0.02634,0.01987
60.0,0.539,0.01945,0.01049
61.0,0.5929,0.02212,0.01311
62.0,0.4312,0.01661,0.00716
63.0,0.3773,0.01501,0.00566
64.0,0.3234,0.01328,0.00429
65.0,0.5929,0.0251,0.01488
66.0,0.4312,0.01882,0.00812
67.0,0.3234,0.01455,0.0047
68.0,0.2695,0.01249,0.00337
69.0,0.3773,0.018,0.00679
70.0,0.2695,0.01323,0.00357
71.0,0.2695,0.01361,0.00367
72.0,0.2156,0.0112,0.00241
73.0,0.1078,0.00575,0.00062
74.0,0.2156,0.01183,0.00255
75.0,0.0539,0.00304,0.00016
76.0,0.1078,0.00624,0.00067
77.0,0.1078,0.0064,0.00069
78.0,0.0539,0.00328,0.00018
79.0,0.0539,0.00337,0.00018
80.0,0.0539,0.00345,0.00019
81.0,0.0539,0.00354,0.00019
82.0,0.0,0.0,0.0
83.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
0.0,10.9956,0.001,0.01099
1.0,10.6722,0.00108,0.01149
2.0,8.7857,0.00115,0.0101
3.0,6.3063,0.00114,0.00719
4.0,3.5574,0.00089,0.00318
5.0,3.4496,0.00118,0.00406
6.0,3.7191,0.00168,0.00624
7.0,3.5574,0.00207,0.00735
8.0,3.3418,0.00244,0.00816
9.0,3.3957,0.00306,0.01039
10.0,3.3957,0.0037,0.01258
11.0,3.3418,0.00435,0.01453
12.0,3.1262,0.00479,0.01496
13.0,3.3957,0.00605,0.02054
14.0,3.1262,0.00641,0.02004
15.0,2.9645,0.00694,0.02057
16.0,3.0184,0.008,0.02415
17.0,2.8028,0.00835,0.02342
18.0,2.7489,0.00916,0.02517
19.0,2.8567,0.01057,0.0302
20.0,2.7489,0.01125,0.03091
21.0,2.2638,0.01019,0.02307
22.0,2.5333,0.01249,0.03164
23.0,2.2638,0.01218,0.02758
24.0,2.156,0.01261,0.0272
25.0,2.5333,0.01606,0.04069
