duty,voltage,current,power
0.0,9.163,0.00083,0.00763
1.0,8.3545,0.00084,0.00704
2.0,7.3843,0.00097,0.00714
3.0,7.1687,0.0013,0.0093
4.0,7.2226,0.00181,0.01309
5.0,6.9531,0.00237,0.01648
6.0,7.1687,0.00323,0.02317
7.0,6.5758,0.00382,0.02512
8.0,6.9531,0.00508,0.03534
9.0,6.5758,0.00592,0.03896
10.0,6.9531,0.00759,0.05274
11.0,6.2524,0.00813,0.05086
12.0,6.1446,0.00941,0.0578
13.0,5.9829,0.01066,0.06375
14.0,6.5219,0.01338,0.08724
15.0,6.3602,0.01489,0.09469
16.0,6.1985,0.01643,0.10185
17.0,5.9829,0.01783,0.1067
18.0,6.3602,0.02119,0.13474
19.0,5.6056,0.02075,0.11629
20.0,5.8212,0.02381,0.13863
21.0,5.5517,0.02499,0.13872
22.0,5.7673,0.02844,0.16401
23.0,5.2283,0.02813,0.14709
24.0,5.2283,0.03059,0.15994
25.0,5.2822,0.03349,0.17692
26.0,5.3361,0.03656,0.19507
27.0,4.9049,0.0362,0.17757
28.0,5.1205,0.04061,0.20794
29.0,4.5815,0.03895,0.17844
30.0,5.0127,0.04557,0.22843
31.0,4.5276,0.04392,0.19886
32.0,4.2581,0.04399,0.18731
33.0,4.1503,0.04557,0.18915
34.0,4.3659,0.05087,0.22208
35.0,3.8269,0.04723,0.18073
36.0,3.8269,0.04994,0.19113
37.0,3.8269,0.05274,0.20182
38.0,3.9886,0.05796,0.23117
39.0,3.773,0.05773,0.21782
40.0,4.2042,0.06765,0.28441
41.0,3.773,0.06377,0.24059
42.0,3.3957,0.06021,0.20445
43.0,3.7191,0.0691,0.25701
44.0,2.8567,0.05557,0.15873
45.0,3.5574,0.07236,0.25742
46.0,3.1262,0.06643,0.20769
47.0,2.9645,0.06576,0.19493
48.0,2.5333,0.0586,0.14845
49.0,2.6411,0.06365,0.16811
50.0,2.5333,0.06356,0.16102
51.0,2.3177,0.06049,0.14021
52.0,2.7489,0.07458,0.20501
53.0,2.4794,0.06987,0.17324
54.0,1.9404,0.05676,0.11013
55.0,2.2638,0.06869,0.15549
56.0,2.3716,0.07459,0.1769
57.0,2.3177,0.07551,0.17502
58.0,2.0482,0.06909,0.14151
59.0,1.7787,0.06208,0.11042
60.0,2.2638,0.0817,0.18496
61.0,1.7248,0.06434,0.11097
62.0,1.9943,0.07684,0.15325
63.0,1.5092,0.06004,0.09061
64.0,1.6709,0.06859,0.11461
65.0,1.1858,0.05021,0.05954
66.0,1.2936,0.05647,0.07305
67.0,1.5092,0.06789,0.10245
68.0,0.9702,0.04495,0.04361
69.0,1.4014,0.06685,0.09368
70.0,0.9702,0.04763,0.04621
71.0,1.2397,0.06261,0.07761
72.0,0.5929,0.03079,0.01826
73.0,1.078,0.05754,0.06203
74.0,1.078,0.05913,0.06374
75.0,0.7546,0.04251,0.03208
76.0,1.0241,0.05925,0.06067
77.0,1.0241,0.06081,0.06228
78.0,0.539,0.03284,0.0177
79.0,0.7007,0.04379,0.03069
80.0,0.3773,0.02418,0.00912
81.0,0.8085,0.05312,0.04295
82.0,0.7007,0.04718,0.03306
83.0,0.7007,0.04833,0.03387
84.0,0.6468,0.0457,0.02956
85.0,0.4312,0.03119,0.01345
86.0,0.5929,0.0439,0.02603
87.0,0.4851,0.03676,0.01783
88.0,0.4851,0.03761,0.01824
89.0,0.539,0.04274,0.02304
90.0,0.4312,0.03497,0.01508
