duty,voltage,current,power
0.0,9.163,0.00083,0.00763
1.0,8.4623,0.00085,0.00723
2.0,7.1148,0.00093,0.00663
3.0,7.2765,0.00132,0.00958
4.0,7.1687,0.0018,0.01289
5.0,6.8992,0.00235,0.01623
6.0,7.1148,0.00321,0.02283
7.0,6.8453,0.00398,0.02722
8.0,6.4141,0.00469,0.03007
9.0,6.7375,0.00607,0.0409
10.0,6.7914,0.00741,0.05032
11.0,6.3063,0.0082,0.05174
12.0,6.3602,0.00974,0.06193
13.0,6.3063,0.01123,0.07083
14.0,6.3063,0.01293,0.08156
15.0,6.1446,0.01438,0.08838
16.0,6.0907,0.01615,0.09834
17.0,6.4141,0.01912,0.12264
18.0,5.7134,0.01903,0.10873
19.0,5.7134,0.02114,0.12081
20.0,5.8212,0.02381,0.13863
21.0,5.7673,0.02596,0.14971
22.0,5.4439,0.02684,0.14613
23.0,5.39,0.029,0.15633
24.0,5.0666,0.02964,0.1502
25.0,5.39,0.03418,0.18422
26.0,5.0127,0.03434,0.17214
27.0,5.2283,0.03859,0.20176
28.0,4.9588,0.03933,0.19502
29.0,4.5815,0.03895,0.17844
30.0,5.0127,0.04557,0.22843
31.0,4.851,0.04706,0.22828
32.0,4.4737,0.04622,0.20676
33.0,4.9049,0.05386,0.26418
34.0,4.2042,0.04898,0.20593
35.0,3.7191,0.0459,0.1707
36.0,4.0425,0.05276,0.21328
37.0,4.0964,0.05645,0.23125
38.0,4.4198,0.06422,0.28386
39.0,3.9886,0.06103,0.24342
40.0,3.6113,0.05811,0.20985
41.0,3.9347,0.0665,0.26166
42.0,3.4496,0.06116,0.21099
43.0,3.5035,0.0651,0.22807
44.0,3.0723,0.05976,0.1836
45.0,3.5574,0.07236,0.25742
46.0,3.773,0.08018,0.30252
47.0,2.9106,0.06456,0.18791
48.0,1.9943,0.04613,0.092
49.0,3.234,0.07794,0.25207
50.0,2.156,0.0541,0.11663
51.0,2.2638,0.05909,0.13376
52.0,2.5872,0.07019,0.1816
53.0,2.5872,0.07291,0.18863
54.0,2.2099,0.06464,0.14285
55.0,2.5333,0.07686,0.19472
56.0,2.2638,0.0712,0.16118
57.0,1.9404,0.06322,0.12267
58.0,1.9404,0.06545,0.127
59.0,2.156,0.07525,0.16223
60.0,1.7787,0.06419,0.11418
61.0,1.8326,0.06836,0.12527
62.0,1.6709,0.06438,0.10757
63.0,1.6709,0.06647,0.11106
64.0,1.8865,0.07744,0.1461
65.0,1.6709,0.07075,0.11821
66.0,1.5092,0.06588,0.09942
67.0,1.3475,0.06061,0.08167
68.0,1.2936,0.05993,0.07753
69.0,1.3475,0.06428,0.08661
70.0,1.3475,0.06615,0.08914
71.0,1.0241,0.05172,0.05296
72.0,1.2397,0.06438,0.07981
73.0,0.9702,0.05179,0.05025
74.0,1.1858,0.06504,0.07713
75.0,0.8085,0.04555,0.03683
76.0,0.8624,0.04989,0.04303
77.0,0.9163,0.05441,0.04986
78.0,0.7007,0.04269,0.02992
79.0,1.1858,0.07411,0.08788
80.0,0.8624,0.05527,0.04767
81.0,0.4312,0.02833,0.01222
82.0,0.4312,0.02903,0.01252
83.0,0.8085,0.05577,0.04509
84.0,0.4312,0.03046,0.01314
85.0,0.4312,0.03119,0.01345
86.0,0.539,0.03991,0.02151
87.0,0.3773,0.02859,0.01079
88.0,0.4312,0.03343,0.01442
89.0,0.3773,0.02992,0.01129
90.0,0.539,0.04371,0.02356
