duty,voltage,current,power
0.0,19.9969,0.00182,0.03635
1.0,19.9969,0.00202,0.04035
2.0,19.9969,0.00262,0.05235
3.0,20.1586,0.00365,0.07352
4.0,19.943,0.005,0.09979
5.0,19.943,0.0068,0.13559
6.0,19.943,0.00899,0.17934
7.0,19.943,0.01159,0.23104
8.0,19.9969,0.01462,0.29227
9.0,20.1047,0.01811,0.36415
10.0,19.943,0.02176,0.43388
11.0,19.943,0.02594,0.5174
12.0,19.943,0.03053,0.60888
13.0,19.943,0.03552,0.70831
14.0,19.943,0.0409,0.81569
15.0,19.943,0.04668,0.93103
16.0,19.7813,0.05244,1.0373
17.0,19.8891,0.05929,1.17918
18.0,19.8891,0.06625,1.31763
19.0,19.8891,0.07361,1.46399
20.0,20.0508,0.08203,1.64469
21.0,20.1047,0.09049,1.81926
22.0,19.7813,0.09754,1.92946
23.0,19.8891,0.10702,2.12856
24.0,19.8352,0.11605,2.30195
25.0,19.8352,0.12577,2.49474
26.0,19.7813,0.13552,2.68076
27.0,19.943,0.1472,2.93556
28.0,20.1586,0.15988,3.22288
29.0,19.7813,0.16816,3.3264
30.0,19.7813,0.17983,3.55727
31.0,19.7813,0.1919,3.79596
32.0,19.7813,0.20436,4.04248
33.0,19.943,0.21899,4.36736
34.0,20.0508,0.23361,4.68407
35.0,19.7274,0.24345,4.80272
36.0,19.6735,0.25676,5.05131
37.0,19.7274,0.27186,5.36312
38.0,19.7274,0.28666,5.655
39.0,19.8352,0.3035,6.01991
40.0,19.943,0.3209,6.39973
41.0,19.6196,0.33159,6.50565
42.0,19.5657,0.34692,6.78769
43.0,19.5657,0.36355,7.11308
44.0,19.5118,0.37952,7.40516
45.0,19.5657,0.39798,7.78684
46.0,19.7813,0.42037,8.31548
47.0,19.7274,0.43757,8.63215
48.0,19.5118,0.45133,8.80618
49.0,19.4579,0.46895,9.12484
50.0,19.4579,0.48822,9.49967
51.0,19.5657,0.51068,9.99186
52.0,19.6735,0.53376,10.50092
53.0,19.6735,0.55442,10.90732
54.0,19.404,0.56758,11.01341
55.0,19.404,0.58874,11.42382
56.0,19.4579,0.61197,11.90763
57.0,19.404,0.6322,12.26721
58.0,19.5657,0.65997,12.91275
59.0,19.404,0.67722,13.14072
60.0,19.404,0.70031,13.58878
61.0,19.4579,0.7258,14.12249
62.0,19.4579,0.74973,14.58818
63.0,19.4579,0.77405,15.06145
64.0,19.5118,0.80098,15.62851
65.0,19.5657,0.82843,16.2088
66.0,19.2962,0.8423,16.25313
67.0,19.3501,0.87039,16.84204
