duty,voltage,current,power
0.0,13.9062,0.00126,0.01758
1.0,13.5289,0.00137,0.01847
2.0,11.9658,0.00157,0.01874
3.0,10.0254,0.00181,0.01818
4.0,6.468,0.00162,0.0105
5.0,6.4141,0.00219,0.01403
6.0,6.4141,0.00289,0.01855
7.0,6.7375,0.00391,0.02637
8.0,6.9531,0.00508,0.03534
9.0,6.6297,0.00597,0.0396
10.0,6.1446,0.0067,0.04119
11.0,5.929,0.00771,0.04573
12.0,6.0368,0.00924,0.05579
13.0,5.5517,0.00989,0.05489
14.0,5.9829,0.01227,0.07341
15.0,5.5517,0.013,0.07215
16.0,5.2822,0.014,0.07396
17.0,5.1744,0.01542,0.07981
18.0,5.4439,0.01813,0.09871
19.0,5.7134,0.02114,0.12081
20.0,5.0127,0.02051,0.10279
21.0,5.1744,0.02329,0.12051
22.0,4.5276,0.02233,0.10108
23.0,4.2581,0.02291,0.09756
24.0,4.3659,0.02554,0.11152
25.0,4.4198,0.02803,0.12387
26.0,4.1503,0.02843,0.11801
27.0,3.9886,0.02944,0.11742
28.0,3.8269,0.03035,0.11615
29.0,3.8808,0.03299,0.12803
30.0,4.0964,0.03724,0.15255
31.0,3.1801,0.03085,0.09811
32.0,3.3957,0.03508,0.11912
33.0,3.3418,0.0367,0.12263
34.0,3.234,0.03768,0.12185
35.0,3.4496,0.04257,0.14685
36.0,2.7489,0.03588,0.09862
37.0,2.4794,0.03417,0.08472
38.0,2.7489,0.03994,0.1098
39.0,2.8567,0.04371,0.12487
40.0,2.7489,0.04423,0.12159
41.0,2.4794,0.0419,0.1039
42.0,2.695,0.04778,0.12878
43.0,3.0184,0.05608,0.16929
44.0,2.9645,0.05766,0.17094
45.0,2.2638,0.04605,0.10424
46.0,2.4794,0.05269,0.13064
47.0,2.2638,0.05021,0.11367
48.0,2.3716,0.05486,0.1301
49.0,1.8865,0.04547,0.08577
50.0,1.8865,0.04733,0.0893
51.0,1.617,0.04221,0.06825
52.0,1.1858,0.03217,0.03815
53.0,1.7787,0.05013,0.08916
54.0,1.4553,0.04257,0.06195
55.0,1.7787,0.05397,0.09599
56.0,1.8865,0.05933,0.11193
57.0,1.5631,0.05093,0.0796
58.0,1.2397,0.04182,0.05184
59.0,1.1858,0.04139,0.04907
60.0,1.1319,0.04085,0.04624
61.0,1.078,0.04021,0.04335
62.0,0.8085,0.03115,0.02519
63.0,1.1858,0.04717,0.05594
64.0,0.9163,0.03761,0.03447
65.0,0.7007,0.02967,0.02079
66.0,0.9702,0.04235,0.04109
67.0,0.8085,0.03637,0.0294
68.0,0.5929,0.02747,0.01629
69.0,0.7546,0.036,0.02716
70.0,0.5929,0.02911,0.01726
71.0,0.7546,0.03811,0.02876
72.0,0.8085,0.04199,0.03395
73.0,0.3773,0.02014,0.0076
74.0,0.4312,0.02365,0.0102
75.0,0.3773,0.02126,0.00802
76.0,0.4312,0.02495,0.01076
77.0,0.2156,0.0128,0.00276
78.0,0.4851,0.02956,0.01434
79.0,0.2695,0.01684,0.00454
80.0,0.1617,0.01036,0.00168
81.0,0.2695,0.01771,0.00477
82.0,0.2156,0.01452,0.00313
83.0,0.0539,0.00372,0.0002
84.0,0.1078,0.00762,0.00082
85.0,0.1617,0.0117,0.00189
86.0,0.1078,0.00798,0.00086
87.0,0.1078,0.00817,0.00088
88.0,0.0539,0.00418,0.00023
89.0,0.0539,0.00427,0.00023
90.0,0.0539,0.00437,0.00024
0.0,14.7686,0.00134,0.01983
1.0,14.4991,0.00146,0.02121
2.0,13.3133,0.00174,0.0232
3.0,11.7502,0.00213,0.02498
