duty,voltage,current,power
0.0,15.8466,0.00144,0.02283
1.0,15.7388,0.00159,0.025
2.0,14.9842,0.00196,0.02939
3.0,13.9062,0.00252,0.03498
4.0,11.858,0.00298,0.03528
5.0,10.6183,0.00362,0.03844
6.0,10.8339,0.00489,0.05292
7.0,10.5105,0.00611,0.06417
8.0,10.1332,0.00741,0.07505
9.0,9.8098,0.00884,0.0867
10.0,10.1332,0.01105,0.11202
11.0,9.6481,0.01255,0.1211
12.0,9.3247,0.01428,0.13311
13.0,8.8935,0.01584,0.14086
14.0,9.8637,0.02023,0.19954
15.0,9.3247,0.02183,0.20354
16.0,9.2169,0.02443,0.2252
17.0,8.4623,0.02523,0.21346
18.0,8.7318,0.02908,0.25396
19.0,8.7857,0.03252,0.28567
20.0,7.9772,0.03263,0.26033
21.0,8.4623,0.03809,0.32231
22.0,7.6538,0.03774,0.28886
23.0,8.1389,0.04379,0.35644
24.0,7.5999,0.04447,0.33794
25.0,7.2765,0.04614,0.33574
26.0,7.1148,0.04874,0.3468
27.0,7.4921,0.0553,0.4143
28.0,7.4382,0.05899,0.43879
29.0,7.2765,0.06186,0.4501
30.0,7.1687,0.06517,0.46718
31.0,6.6836,0.06484,0.43334
32.0,7.2226,0.07462,0.53892
33.0,6.5219,0.07162,0.46707
34.0,5.929,0.06908,0.40956
35.0,6.0907,0.07516,0.45781
36.0,6.1985,0.0809,0.50143
37.0,6.1446,0.08468,0.52031
38.0,5.6595,0.08224,0.46542
39.0,5.2822,0.08082,0.42692
40.0,5.2283,0.08413,0.43985
41.0,4.7432,0.08016,0.38024
42.0,4.5815,0.08123,0.37217
43.0,4.5815,0.08513,0.39002
44.0,3.6652,0.07129,0.2613
45.0,3.5574,0.07236,0.25742
46.0,4.5815,0.09736,0.44606
47.0,4.7432,0.10521,0.49902
48.0,3.4496,0.07979,0.27525
49.0,3.1801,0.07664,0.24373
50.0,3.1262,0.07844,0.24522
51.0,3.1801,0.083,0.26396
52.0,3.3418,0.09067,0.30299
53.0,2.695,0.07595,0.20468
54.0,3.1801,0.09302,0.29582
55.0,2.8028,0.08504,0.23835
56.0,2.3177,0.07289,0.16895
57.0,2.2638,0.07376,0.16697
58.0,2.5333,0.08545,0.21647
59.0,2.2099,0.07713,0.17044
60.0,1.8865,0.06809,0.12844
61.0,1.8326,0.06836,0.12527
62.0,1.9404,0.07477,0.14507
63.0,1.8865,0.07505,0.14158
64.0,1.7248,0.0708,0.12212
65.0,1.3475,0.05705,0.07688
66.0,1.9404,0.0847,0.16435
67.0,1.4014,0.06304,0.08834
68.0,1.2936,0.05993,0.07753
69.0,0.9163,0.04371,0.04005
70.0,1.1858,0.05821,0.06903
71.0,1.2936,0.06533,0.08451
72.0,1.078,0.05598,0.06035
73.0,1.0241,0.05467,0.05598
74.0,0.8085,0.04435,0.03585
75.0,0.5929,0.0334,0.01981
76.0,0.7007,0.04054,0.0284
77.0,0.539,0.03201,0.01725
78.0,0.7007,0.04269,0.02992
79.0,0.3234,0.02021,0.00654
80.0,0.4851,0.03109,0.01508
81.0,0.3234,0.02125,0.00687
82.0,0.3234,0.02177,0.00704
83.0,0.4312,0.02974,0.01283
84.0,0.1617,0.01142,0.00185
85.0,0.1617,0.0117,0.00189
86.0,0.1078,0.00798,0.00086
87.0,0.0539,0.00408,0.00022
88.0,0.1617,0.01254,0.00203
89.0,0.1617,0.01282,0.00207
90.0,0.1617,0.01311,0.00212
0.0,14.7147,0.00134,0.01968
1.0,14.4452,0.00146,0.02106
2.0,13.5289,0.00177,0.02396
3.0,11.6963,0.00212,0.02475
4.0,7.8694,0.00197,0.01554
5.0,8.2467,0.00281,0.02318
6.0,7.7077,0.00348,0.02679
7.0,8.1389,0.00473,0.03848
8.0,7.6538,0.00559,0.04282
9.0,8.0311,0.00724,0.05811
10.0,7.2226,0.00788,0.05691
11.0,7.4921,0.00975,0.07302
12.0,7.546,0.01155,0.08717
13.0,7.1687,0.01277,0.09152
14.0,7.2765,0.01492,0.10859
15.0,7.007,0.0164,0.11493
16.0,7.3304,0.01943,0.14245
17.0,7.0609,0.02105,0.14862
18.0,6.5219,0.02172,0.14168
19.0,6.4141,0.02374,0.15226
20.0,6.1985,0.02536,0.15718
21.0,6.1985,0.0279,0.17293
22.0,6.3602,0.03136,0.19947
23.0,6.1985,0.03335,0.20674
24.0,5.7673,0.03374,0.19461
25.0,5.929,0.0376,0.2229
26.0,5.39,0.03693,0.19903
27.0,5.3361,0.03939,0.21016
28.0,5.2822,0.04189,0.22129
29.0,5.2283,0.04445,0.23237
30.0,4.6893,0.04263,0.1999
31.0,4.7971,0.04654,0.22324
32.0,4.6354,0.04789,0.22198
33.0,4.851,0.05327,0.25841
34.0,4.851,0.05652,0.27417
35.0,4.4737,0.05521,0.24699
36.0,3.6113,0.04713,0.1702
37.0,3.7191,0.05125,0.19061
38.0,3.234,0.04699,0.15198
39.0,3.2879,0.05031,0.16541
40.0,3.2879,0.05291,0.17395
41.0,3.3957,0.05739,0.19488
42.0,3.2879,0.0583,0.19168
43.0,3.6113,0.0671,0.24232
44.0,3.3957,0.06605,0.22428
45.0,2.9106,0.0592,0.17232
46.0,2.2099,0.04696,0.10378
47.0,3.3957,0.07532,0.25576
48.0,2.3177,0.05361,0.12425
49.0,2.4255,0.05846,0.14179
50.0,2.3177,0.05815,0.13478
51.0,2.5333,0.06612,0.16751
52.0,1.8865,0.05118,0.09656
53.0,2.1021,0.05924,0.12453
54.0,2.4794,0.07252,0.17982
55.0,1.8865,0.05724,0.10798
56.0,1.7248,0.05425,0.09356
57.0,1.7248,0.0562,0.09693
58.0,1.2397,0.04182,0.05184
59.0,1.1858,0.04139,0.04907
60.0,1.2397,0.04474,0.05547
61.0,1.4553,0.05428,0.079
62.0,1.1319,0.04361,0.04937
63.0,1.1319,0.04503,0.05097
64.0,1.1858,0.04868,0.05772
65.0,1.078,0.04564,0.0492
66.0,1.0241,0.0447,0.04578
67.0,1.2397,0.05576,0.06913
68.0,0.7546,0.03496,0.02638
69.0,0.8085,0.03857,0.03118
70.0,0.6468,0.03175,0.02054
71.0,0.8085,0.04083,0.03301
72.0,0.7546,0.03919,0.02957
73.0,0.3234,0.01726,0.00558
74.0,0.9163,0.05026,0.04605
75.0,0.7007,0.03948,0.02766
76.0,0.4851,0.02806,0.01361
77.0,0.7007,0.04161,0.02915
78.0,0.4851,0.02956,0.01434
79.0,0.4312,0.02695,0.01162
80.0,0.3773,0.02418,0.00912
81.0,0.2156,0.01417,0.00305
82.0,0.2156,0.01452,0.00313
83.0,0.2156,0.01487,0.00321
84.0,0.2156,0.01523,0.00328
85.0,0.2156,0.0156,0.00336
86.0,0.1078,0.00798,0.00086
87.0,0.1617,0.01225,0.00198
88.0,0.1078,0.00836,0.0009
89.0,0.0539,0.00427,0.00023
90.0,0.0539,0.00437,0.00024
0.0,15.5771,0.00142,0.02206
1.0,15.4154,0.00156,0.02398
2.0,14.6069,0.00191,0.02793
3.0,12.8821,0.00233,0.03002
4.0,10.9417,0.00275,0.03004
5.0,10.6722,0.00364,0.03883
6.0,10.0254,0.00452,0.04532
7.0,9.4325,0.00548,0.05168
8.0,9.1091,0.00666,0.06065
9.0,9.3786,0.00845,0.07924
10.0,9.5403,0.01041,0.09929
11.0,9.9176,0.0129,0.12796
12.0,9.9715,0.01527,0.15222
13.0,9.5403,0.01699,0.16209
14.0,8.6779,0.0178,0.15445
15.0,9.0552,0.0212,0.19195
16.0,9.1091,0.02415,0.21996
17.0,8.7318,0.02603,0.22728
18.0,8.0311,0.02675,0.21484
19.0,8.3545,0.03092,0.25831
20.0,7.5999,0.03109,0.23628
21.0,7.7616,0.03493,0.27115
22.0,7.7616,0.03827,0.29705
23.0,7.6538,0.04118,0.31522
24.0,7.8694,0.04604,0.36233
25.0,7.8155,0.04956,0.38732
26.0,6.1985,0.04247,0.26322
27.0,6.7375,0.04973,0.33505
28.0,6.7914,0.05386,0.3658
29.0,6.6836,0.05682,0.37974
30.0,6.3063,0.05733,0.36154
31.0,6.3063,0.06118,0.3858
32.0,6.0907,0.06292,0.38324
33.0,5.8212,0.06392,0.3721
34.0,5.929,0.06908,0.40956
35.0,6.2524,0.07716,0.48244
36.0,5.8751,0.07668,0.45048
37.0,5.1744,0.07131,0.36898
38.0,5.3361,0.07754,0.41375
39.0,4.6893,0.07175,0.33646
40.0,4.5276,0.07285,0.32985
41.0,4.3659,0.07379,0.32215
42.0,4.2042,0.07454,0.3134
43.0,4.3659,0.08112,0.35417
44.0,3.5035,0.06815,0.23875
45.0,3.5574,0.07236,0.25742
46.0,3.5574,0.0756,0.26893
47.0,3.4496,0.07652,0.26395
48.0,2.9106,0.06732,0.19596
49.0,3.5035,0.08444,0.29583
50.0,2.3716,0.05951,0.14112
51.0,2.9106,0.07597,0.22112
52.0,2.1021,0.05703,0.11989
53.0,2.7489,0.07747,0.21295
54.0,2.8567,0.08356,0.23871
55.0,2.8567,0.08667,0.2476
56.0,2.5333,0.07967,0.20184
57.0,2.156,0.07024,0.15145
58.0,2.5872,0.08727,0.22578
59.0,1.8865,0.06584,0.12421
60.0,1.9404,0.07003,0.13589
61.0,1.6709,0.06233,0.10414
62.0,1.4553,0.05607,0.0816
63.0,1.617,0.06433,0.10401
64.0,1.4553,0.05974,0.08694
65.0,1.4553,0.06162,0.08967
66.0,1.4014,0.06117,0.08573
67.0,1.2936,0.05819,0.07527
68.0,1.0241,0.04745,0.04859
69.0,1.2397,0.05913,0.07331
70.0,0.8085,0.03969,0.03209
71.0,0.9163,0.04627,0.0424
72.0,1.1319,0.05878,0.06653
73.0,0.6468,0.03453,0.02233
74.0,0.8624,0.0473,0.04079
75.0,0.5929,0.0334,0.01981
76.0,0.6468,0.03742,0.0242
77.0,0.7007,0.04161,0.02915
78.0,0.7007,0.04269,0.02992
79.0,0.539,0.03369,0.01816
80.0,0.3773,0.02418,0.00912
81.0,0.2695,0.01771,0.00477
82.0,0.2695,0.01815,0.00489
83.0,0.4851,0.03346,0.01623
84.0,0.3234,0.02285,0.00739
85.0,0.2156,0.0156,0.00336
86.0,0.0539,0.00399,0.00022
87.0,0.0539,0.00408,0.00022
88.0,0.0539,0.00418,0.00023
89.0,0.0539,0.00427,0.00023
90.0,0.0539,0.00437,0.00024
0.0,15.9005,0.00145,0.02298
1.0,15.7388,0.00159,0.025
2.0,14.9842,0.00196,0.02939
3.0,14.014,0.00254,0.03553
4.0,12.0736,0.00303,0.03658
5.0,10.6722,0.00364,0.03883
6.0,10.9956,0.00496,0.05452
7.0,10.8339,0.00629,0.06818
8.0,10.3488,0.00756,0.07828
9.0,10.3488,0.00932,0.09649
10.0,10.8339,0.01182,0.12804
11.0,10.1332,0.01318,0.13358
12.0,9.5942,0.01469,0.14092
13.0,10.1332,0.01805,0.18287
14.0,9.6481,0.01979,0.19091
15.0,9.8637,0.02309,0.22775
16.0,9.7559,0.02586,0.25231
17.0,9.0552,0.02699,0.24442
18.0,9.0552,0.03016,0.27312
19.0,7.9772,0.02952,0.23551
20.0,8.6779,0.0355,0.30807
21.0,9.0552,0.04076,0.36906
22.0,8.085,0.03987,0.32232
23.0,8.624,0.0464,0.4002
24.0,8.5162,0.04983,0.42434
25.0,8.0311,0.05092,0.40898
26.0,7.4921,0.05133,0.38455
27.0,7.4921,0.0553,0.4143
28.0,7.4921,0.05942,0.44517
29.0,6.5758,0.0559,0.36759
30.0,6.8992,0.06272,0.43272
31.0,6.468,0.06275,0.40584
32.0,6.9531,0.07183,0.49945
33.0,6.468,0.07102,0.45939
34.0,5.8751,0.06845,0.40215
35.0,6.468,0.07982,0.51628
36.0,5.7673,0.07527,0.4341
37.0,5.8212,0.08022,0.46699
38.0,5.929,0.08615,0.51081
39.0,5.3361,0.08165,0.43568
40.0,5.1205,0.08239,0.4219
41.0,5.0127,0.08472,0.42467
42.0,4.851,0.08601,0.41725
43.0,4.0964,0.07611,0.3118
44.0,4.2581,0.08282,0.35267
45.0,4.312,0.08771,0.37821
46.0,4.9588,0.10538,0.52255
47.0,4.7432,0.10521,0.49902
48.0,3.5574,0.08229,0.29272
49.0,3.8269,0.09223,0.35296
50.0,3.2879,0.0825,0.27124
51.0,3.234,0.08441,0.27298
52.0,3.3418,0.09067,0.30299
53.0,3.0184,0.08506,0.25675
54.0,2.9106,0.08514,0.2478
55.0,2.6411,0.08013,0.21164
56.0,2.8567,0.08985,0.25666
57.0,2.4794,0.08078,0.20029
58.0,2.3177,0.07818,0.18119
59.0,2.0482,0.07148,0.14641
60.0,2.1021,0.07587,0.15948
61.0,1.9943,0.07439,0.14835
62.0,1.7248,0.06646,0.11463
63.0,1.617,0.06433,0.10401
64.0,1.8865,0.07744,0.1461
65.0,1.7248,0.07303,0.12596
66.0,1.4553,0.06353,0.09245
67.0,1.5631,0.07031,0.1099
68.0,1.8326,0.08491,0.1556
69.0,1.1858,0.05656,0.06707
70.0,1.0241,0.05027,0.05149
71.0,0.9163,0.04627,0.0424
72.0,0.9163,0.04758,0.0436
73.0,1.1858,0.0633,0.07506
74.0,0.8624,0.0473,0.04079
75.0,0.8085,0.04555,0.03683
