duty,voltage,current,power
0.0,14.7147,0.00134,0.01968
1.0,14.553,0.00147,0.02137
2.0,13.7984,0.00181,0.02492
3.0,13.2594,0.0024,0.03181
4.0,11.1573,0.0028,0.03123
5.0,9.4864,0.00323,0.03068
6.0,7.7616,0.0035,0.02716
7.0,7.6538,0.00445,0.03403
8.0,7.4921,0.00548,0.04103
9.0,7.6538,0.0069,0.05278
10.0,7.1687,0.00782,0.05606
11.0,7.3843,0.00961,0.07094
12.0,7.3843,0.0113,0.08348
13.0,7.0609,0.01257,0.08879
14.0,6.7914,0.01393,0.09459
15.0,6.8453,0.01602,0.10969
16.0,6.8992,0.01829,0.12618
17.0,6.3602,0.01896,0.12058
18.0,6.4141,0.02136,0.13704
19.0,6.8453,0.02533,0.17342
20.0,5.8212,0.02381,0.13863
21.0,5.8751,0.02644,0.15536
22.0,6.0368,0.02977,0.1797
23.0,5.2283,0.02813,0.14709
24.0,5.2283,0.03059,0.15994
25.0,5.4439,0.03452,0.18792
26.0,4.9588,0.03397,0.16846
27.0,4.9588,0.0366,0.18149
28.0,5.2822,0.04189,0.22129
29.0,4.6893,0.03986,0.18693
30.0,5.1205,0.04655,0.23836
31.0,4.6893,0.04549,0.21332
32.0,4.7432,0.049,0.23242
33.0,3.8269,0.04202,0.16082
34.0,4.1503,0.04835,0.20069
35.0,4.2042,0.05188,0.21813
36.0,3.9347,0.05135,0.20205
37.0,3.5035,0.04828,0.16915
38.0,3.3957,0.04934,0.16755
39.0,3.234,0.04948,0.16003
40.0,3.6652,0.05898,0.21616
41.0,3.3957,0.05739,0.19488
42.0,2.6411,0.04683,0.12368
43.0,3.3957,0.0631,0.21425
44.0,3.0184,0.05871,0.17721
45.0,2.8028,0.05701,0.15979
46.0,2.7489,0.05842,0.16058
47.0,2.9645,0.06576,0.19493
48.0,2.5333,0.0586,0.14845
49.0,2.7489,0.06625,0.18212
50.0,2.7489,0.06897,0.1896
51.0,2.3716,0.0619,0.1468
52.0,1.8326,0.04972,0.09112
53.0,2.3716,0.06683,0.1585
54.0,2.156,0.06306,0.13597
55.0,1.8865,0.05724,0.10798
56.0,1.9404,0.06103,0.11842
57.0,1.8326,0.05971,0.10942
58.0,1.5631,0.05272,0.08241
59.0,1.2936,0.04515,0.0584
60.0,1.5631,0.05641,0.08818
61.0,1.1858,0.04423,0.05245
62.0,0.9702,0.03738,0.03627
63.0,1.1319,0.04503,0.05097
64.0,1.1319,0.04647,0.05259
65.0,1.1319,0.04793,0.05425
66.0,0.9163,0.04,0.03665
67.0,1.0241,0.04606,0.04718
68.0,0.7546,0.03496,0.02638
69.0,1.1319,0.05399,0.06111
70.0,0.7546,0.03704,0.02795
71.0,0.7546,0.03811,0.02876
72.0,0.539,0.02799,0.01509
73.0,0.6468,0.03453,0.02233
74.0,0.9163,0.05026,0.04605
75.0,0.4312,0.02429,0.01048
76.0,0.4851,0.02806,0.01361
77.0,0.2695,0.016,0.00431
78.0,0.3773,0.02299,0.00867
79.0,0.2156,0.01348,0.00291
80.0,0.2156,0.01382,0.00298
81.0,0.2156,0.01417,0.00305
82.0,0.1617,0.01089,0.00176
83.0,0.1617,0.01115,0.0018
84.0,0.1617,0.01142,0.00185
85.0,0.0539,0.0039,0.00021
86.0,0.1078,0.00798,0.00086
87.0,0.0539,0.00408,0.00022
88.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
0.0,14.3913,0.00131,0.01883
1.0,14.2835,0.00144,0.02059
2.0,13.6367,0.00179,0.02434
3.0,12.7743,0.00231,0.02952
4.0,10.5644,0.00265,0.028
5.0,8.085,0.00276,0.02228
6.0,7.007,0.00316,0.02214
7.0,7.007,0.00407,0.02852
8.0,6.7914,0.00496,0.03371
9.0,6.7914,0.00612,0.04155
10.0,6.5219,0.00711,0.0464
11.0,6.6297,0.00862,0.05718
12.0,7.3304,0.01122,0.08226
13.0,6.7375,0.012,0.08084
14.0,6.468,0.01327,0.0858
15.0,6.0368,0.01413,0.08531
16.0,6.1446,0.01629,0.10009
17.0,6.1446,0.01832,0.11255
18.0,5.7134,0.01903,0.10873
19.0,5.6595,0.02095,0.11854
20.0,5.7673,0.02359,0.13607
21.0,5.39,0.02426,0.13076
22.0,5.4978,0.02711,0.14904
23.0,5.1744,0.02784,0.14407
24.0,4.9049,0.0287,0.14076
25.0,5.1744,0.03281,0.16977
26.0,4.7971,0.03286,0.15765
27.0,4.6354,0.03421,0.15859
28.0,4.3659,0.03463,0.15117
29.0,4.4737,0.03803,0.17014
30.0,3.9886,0.03626,0.14463
31.0,4.5276,0.04392,0.19886
32.0,4.1503,0.04288,0.17795
33.0,3.6113,0.03966,0.14321
34.0,3.9886,0.04647,0.18535
35.0,3.3418,0.04124,0.13782
36.0,3.6652,0.04783,0.17532
37.0,3.4496,0.04754,0.16399
38.0,3.1801,0.04621,0.14695
39.0,3.1262,0.04783,0.14954
40.0,3.0184,0.04857,0.1466
41.0,3.0723,0.05192,0.15953
42.0,3.0723,0.05447,0.16736
43.0,3.0184,0.05608,0.16929
44.0,2.5872,0.05032,0.1302
45.0,2.8028,0.05701,0.15979
46.0,3.0723,0.06529,0.20059
47.0,2.695,0.05978,0.1611
48.0,2.5333,0.0586,0.14845
49.0,2.4794,0.05976,0.14816
50.0,2.3177,0.05815,0.13478
51.0,2.1021,0.05487,0.11534
52.0,1.8326,0.04972,0.09112
53.0,1.6709,0.04709,0.07868
54.0,1.7248,0.05045,0.08702
55.0,1.8326,0.0556,0.1019
56.0,1.6709,0.05255,0.08781
57.0,1.3475,0.0439,0.05916
58.0,1.617,0.05454,0.0882
59.0,1.3475,0.04703,0.06337
60.0,1.3475,0.04863,0.06553
61.0,1.3475,0.05026,0.06773
62.0,1.3475,0.05192,0.06996
63.0,1.2397,0.04932,0.06114
64.0,1.0241,0.04204,0.04305
65.0,0.9702,0.04108,0.03985
66.0,0.9163,0.04,0.03665
67.0,1.1319,0.05091,0.05763
68.0,0.8085,0.03746,0.03029
69.0,0.8624,0.04114,0.03548
70.0,0.9702,0.04763,0.04621
71.0,0.539,0.02722,0.01467
72.0,0.5929,0.03079,0.01826
73.0,0.539,0.02877,0.01551
74.0,0.4312,0.02365,0.0102
75.0,0.4312,0.02429,0.01048
76.0,0.2695,0.01559,0.0042
77.0,0.3234,0.0192,0.00621
78.0,0.2695,0.01642,0.00443
79.0,0.2156,0.01348,0.00291
80.0,0.2156,0.01382,0.00298
81.0,0.1617,0.01062,0.00172
82.0,0.1617,0.01089,0.00176
83.0,0.1617,0.01115,0.0018
84.0,0.0539,0.00381,0.00021
85.0,0.0539,0.0039,0.00021
86.0,0.1078,0.00798,0.00086
87.0,0.0539,0.00408,0.00022
88.0,0.0539,0.00418,0.00023
89.0,0.0539,0.00427,0.00023
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
0.0,14.3913,0.00131,0.01883
1.0,14.2835,0.00144,0.02059
2.0,13.5828,0.00178,0.02415
3.0,12.7743,0.00231,0.02952
4.0,10.6183,0.00266,0.02829
5.0,8.4623,0.00288,0.02441
6.0,7.1687,0.00323,0.02317
7.0,7.007,0.00407,0.02852
8.0,6.8992,0.00504,0.03479
9.0,7.1148,0.00641,0.0456
10.0,6.6836,0.00729,0.04873
11.0,6.6297,0.00862,0.05718
12.0,6.8992,0.01056,0.07287
13.0,6.7914,0.01209,0.08214
14.0,6.3602,0.01304,0.08296
15.0,6.1446,0.01438,0.08838
16.0,6.1446,0.01629,0.10009
17.0,6.6836,0.01992,0.13316
18.0,5.7673,0.01921,0.11079
19.0,5.7134,0.02114,0.12081
20.0,5.7673,0.02359,0.13607
21.0,5.6056,0.02523,0.14143
22.0,5.2283,0.02578,0.13479
23.0,5.4439,0.02929,0.15947
24.0,5.2822,0.03091,0.16325
25.0,5.1744,0.03281,0.16977
26.0,4.6893,0.03213,0.15065
27.0,4.4737,0.03302,0.14772
28.0,4.5815,0.03634,0.16647
29.0,4.6354,0.03941,0.18266
30.0,4.5815,0.04165,0.19082
31.0,4.6354,0.04497,0.20844
32.0,3.7191,0.03842,0.14289
33.0,3.3418,0.0367,0.12263
34.0,3.773,0.04396,0.16586
35.0,3.0184,0.03725,0.11243
36.0,3.2879,0.04291,0.14108
37.0,3.3418,0.04605,0.1539
38.0,3.5035,0.05091,0.17836
39.0,3.2879,0.05031,0.16541
