voltage_oc,power_mpp,duty_mpp
16.17,0.41738,29.0
16.1161,0.6156,37.0
16.0083,0.5477,39.0
15.4154,0.41802,36.0
16.9785,1.06725,38.0
16.3317,0.60195,36.0
15.6849,0.44635,30.0
14.6069,0.20176,27.0
15.6849,0.47933,34.0
16.17,0.6247,35.0
16.4395,0.72012,46.0
16.2239,0.58985,28.0
16.1161,0.5825,28.0
15.7388,0.45546,34.0
16.3317,0.69101,36.0
15.5232,0.42602,36.0
19.9969,9.99186,51.0
20.1047,9.99186,51.0
20.1047,9.55237,50.0
19.7813,9.65744,55.0
19.4579,9.75303,61.0
20.4281,9.97924,50.0
20.3203,9.87164,50.0
20.482,9.63738,49.0
20.5898,9.74156,49.0
20.6437,9.8989,49.0
15.9544,0.56805,38.0
15.9005,0.55586,33.0
15.9005,0.55529,30.0
15.5232,0.45048,36.0
15.631,0.45878,36.0
15.5232,0.4341,36.0
15.5232,0.44729,45.0
15.5771,0.46716,36.0
15.5771,0.44985,37.0
15.5771,0.39957,30.0
16.6551,1.21195,52.0
16.6551,1.10971,39.0
16.6551,1.16447,41.0
16.6551,1.13442,41.0
16.709,1.13945,44.0
16.709,1.19674,40.0
16.709,1.13988,47.0
16.709,1.17447,36.0
16.6551,1.11936,43.0
16.709,1.17486,45.0
11.2651,0.04841,39.0
11.319,0.04904,37.0
11.4268,0.04719,41.0
11.9119,0.064,40.0
13.4211,0.14597,43.0
13.2594,0.1245,29.0
12.6126,0.08771,25.0
11.858,0.05589,30.0
11.4807,0.05139,39.0
11.2112,0.03858,31.0
10.5105,0.40217,47.0
8.5701,0.27001,40.0
11.1573,0.04039,42.0
11.4268,0.04636,42.0
11.6424,0.05309,28.0
12.0197,0.06363,41.0
12.0197,0.06085,30.0
12.2892,0.07841,39.0
12.4509,0.07621,31.0
12.6126,0.08024,25.0
12.7743,0.08935,26.0
12.8821,0.08771,25.0
10.4566,0.03319,41.0
10.4027,0.0316,40.0
10.4566,0.02922,40.0
10.78,0.03665,40.0
11.319,0.04492,40.0
12.0197,0.0675,40.0
12.5048,0.08659,42.0
13.5828,0.13691,30.0
12.0736,0.0739,43.0
12.0197,0.0748,40.0
13.7984,0.14265,29.0
13.5828,0.12281,24.0
13.475,0.10922,25.0
13.475,0.11742,27.0
13.4211,0.1179,25.0
14.1757,0.18037,31.0
14.553,0.21125,34.0
15.631,0.45781,35.0
14.3913,0.21825,31.0
15.7927,0.45546,34.0
16.3317,0.80235,46.0
16.2778,0.85701,43.0
16.2778,0.74675,38.0
16.2778,0.7398,32.0
16.2778,0.74141,34.0
16.2239,0.65974,31.0
16.17,0.67252,39.0
16.17,0.73778,47.0
16.17,0.67138,44.0
16.17,0.91287,37.0
9.4864,0.0187,40.0
9.7559,0.02352,39.0
9.8098,0.02473,40.0
9.9715,0.0256,39.0
10.0793,0.02919,37.0
10.1332,0.02847,34.0
10.1871,0.02614,35.0
10.241,0.02704,30.0
10.0254,0.02638,38.0
9.8098,0.02301,26.0
9.163,0.28441,40.0
10.0254,0.02614,35.0
9.5942,0.0237,36.0
9.2169,0.01735,35.0
9.6481,0.02233,38.0
9.4325,0.0196,39.0
9.4325,0.02116,34.0
9.2169,0.01749,43.0
8.8935,0.01524,38.0
8.3006,0.01276,33.0
7.7616,0.00918,35.0
9.5942,0.32005,46.0
9.9176,0.34728,46.0
14.7147,0.23836,30.0
14.3913,0.20059,46.0
14.3913,0.20844,31.0
14.3913,0.19166,25.0
14.4452,0.2075,43.0
14.3374,0.19534,30.0
14.1218,0.17539,43.0
13.9062,0.14418,27.0
