duty,voltage,current,power
0.0,8.5701,0.00078,0.00668
1.0,7.8694,0.00079,0.00625
2.0,6.7375,0.00088,0.00594
3.0,7.1148,0.00129,0.00916
4.0,6.6297,0.00166,0.01103
5.0,5.9829,0.00204,0.0122
6.0,6.468,0.00292,0.01886
7.0,5.9829,0.00348,0.02079
8.0,6.3602,0.00465,0.02957
9.0,5.7134,0.00515,0.02941
10.0,6.2524,0.00682,0.04265
11.0,6.468,0.00841,0.05442
12.0,5.7673,0.00883,0.05092
13.0,5.8212,0.01037,0.06035
14.0,5.4978,0.01128,0.06199
15.0,6.0907,0.01426,0.08684
16.0,5.4978,0.01457,0.08013
17.0,5.1744,0.01542,0.07981
18.0,5.5517,0.01849,0.10266
19.0,5.7134,0.02114,0.12081
20.0,5.1205,0.02095,0.10726
21.0,4.9588,0.02232,0.11068
22.0,4.9588,0.02445,0.12125
23.0,4.7971,0.02581,0.12383
24.0,4.9049,0.0287,0.14076
25.0,5.0666,0.03213,0.16277
26.0,4.7432,0.0325,0.15413
27.0,4.7971,0.03541,0.16985
28.0,4.7432,0.03762,0.17843
29.0,4.6354,0.03941,0.18266
30.0,4.0425,0.03675,0.14856
31.0,4.0425,0.03922,0.15853
32.0,4.4198,0.04566,0.20181
33.0,3.773,0.04143,0.15632
34.0,3.5574,0.04145,0.14744
35.0,3.5574,0.0439,0.15618
36.0,3.6113,0.04713,0.1702
37.0,3.4496,0.04754,0.16399
38.0,3.5035,0.05091,0.17836
39.0,3.7191,0.05691,0.21164
40.0,4.0964,0.06591,0.27001
41.0,3.4496,0.0583,0.20112
42.0,3.3957,0.06021,0.20445
43.0,3.6652,0.0681,0.24961
44.0,3.0723,0.05976,0.1836
45.0,2.8028,0.05701,0.15979
46.0,3.4496,0.07331,0.25288
47.0,2.1021,0.04663,0.09801
48.0,2.9106,0.06732,0.19596
49.0,2.5872,0.06235,0.16132
50.0,2.4255,0.06086,0.14761
51.0,2.3177,0.06049,0.14021
52.0,1.8326,0.04972,0.09112
53.0,2.2099,0.06228,0.13763
54.0,2.156,0.06306,0.13597
55.0,1.8326,0.0556,0.1019
56.0,1.7787,0.05594,0.0995
57.0,1.8326,0.05971,0.10942
58.0,2.0482,0.06909,0.14151
59.0,1.8326,0.06396,0.11721
60.0,1.8865,0.06809,0.12844
61.0,1.7787,0.06635,0.11801
62.0,1.3475,0.05192,0.06996
63.0,1.7248,0.06861,0.11835
64.0,1.2936,0.0531,0.06869
65.0,1.7787,0.07531,0.13396
66.0,1.1319,0.04941,0.05593
67.0,1.617,0.07273,0.11761
68.0,1.2936,0.05993,0.07753
69.0,0.8624,0.04114,0.03548
70.0,1.2397,0.06086,0.07545
71.0,1.1319,0.05716,0.0647
72.0,1.2397,0.06438,0.07981
73.0,0.9702,0.05179,0.05025
74.0,0.9702,0.05322,0.05163
75.0,0.7546,0.04251,0.03208
76.0,0.9702,0.05613,0.05445
77.0,0.6468,0.03841,0.02484
78.0,0.8624,0.05255,0.04532
79.0,0.8085,0.05053,0.04086
80.0,0.3773,0.02418,0.00912
81.0,0.3773,0.02479,0.00935
82.0,0.6468,0.04355,0.02817
83.0,0.5929,0.0409,0.02425
84.0,0.4312,0.03046,0.01314
85.0,0.3773,0.02729,0.0103
86.0,0.3773,0.02794,0.01054
87.0,0.6468,0.04902,0.0317
88.0,0.4312,0.03343,0.01442
89.0,0.4312,0.03419,0.01474
90.0,0.3773,0.0306,0.01154
