duty,voltage,current,power
0.0,15.6849,0.00143,0.02237
1.0,15.631,0.00158,0.02465
2.0,15.092,0.00198,0.02982
3.0,14.7686,0.00267,0.03946
4.0,13.5828,0.00341,0.04629
5.0,12.8282,0.00437,0.0561
6.0,9.9176,0.00447,0.04435
7.0,9.4864,0.00551,0.05228
8.0,9.5942,0.00701,0.06728
9.0,9.3247,0.0084,0.07833
10.0,9.3247,0.01017,0.09485
11.0,9.2169,0.01199,0.11051
12.0,9.0013,0.01378,0.12404
13.0,8.7857,0.01565,0.13747
14.0,8.6779,0.0178,0.15445
15.0,9.0013,0.02107,0.18967
16.0,8.6779,0.023,0.19963
17.0,8.2467,0.02458,0.20273
18.0,8.1389,0.02711,0.22065
19.0,8.0311,0.02972,0.2387
20.0,8.1389,0.0333,0.27099
21.0,8.624,0.03882,0.33475
22.0,8.3006,0.04093,0.33974
23.0,7.9233,0.04263,0.33781
24.0,7.9772,0.04667,0.37233
25.0,7.1687,0.04546,0.32586
26.0,6.468,0.04431,0.28661
27.0,7.546,0.0557,0.42028
28.0,6.8992,0.05472,0.3775
29.0,6.468,0.05498,0.35564
30.0,7.007,0.0637,0.44635
31.0,6.3063,0.06118,0.3858
32.0,6.1985,0.06404,0.39693
33.0,5.7673,0.06333,0.36524
34.0,6.0368,0.07033,0.42459
35.0,5.929,0.07317,0.43382
36.0,5.5517,0.07245,0.40225
37.0,4.2042,0.05794,0.24358
38.0,5.1744,0.07519,0.38906
39.0,5.0666,0.07752,0.39278
40.0,4.2581,0.06852,0.29175
41.0,4.7971,0.08108,0.38893
42.0,4.5815,0.08123,0.37217
43.0,4.4737,0.08313,0.37188
44.0,4.312,0.08387,0.36166
45.0,3.8808,0.07894,0.30635
46.0,3.9347,0.08362,0.329
47.0,3.0184,0.06695,0.20208
48.0,3.9347,0.09101,0.35811
49.0,3.3957,0.08184,0.2779
50.0,3.5574,0.08926,0.31753
51.0,3.4496,0.09004,0.31059
52.0,3.3418,0.09067,0.30299
53.0,3.3418,0.09417,0.31471
54.0,2.6411,0.07725,0.20404
55.0,3.1801,0.09649,0.30684
56.0,2.4794,0.07798,0.19334
57.0,2.6411,0.08605,0.22727
58.0,2.1021,0.07091,0.14905
59.0,1.9404,0.06772,0.13141
60.0,1.9943,0.07198,0.14354
61.0,2.3177,0.08645,0.20037
62.0,1.5631,0.06023,0.09414
63.0,2.0482,0.08148,0.16689
64.0,1.5092,0.06195,0.0935
65.0,1.4014,0.05934,0.08315
66.0,1.5092,0.06588,0.09942
67.0,1.617,0.07273,0.11761
68.0,1.2936,0.05993,0.07753
69.0,1.078,0.05142,0.05543
70.0,1.3475,0.06615,0.08914
71.0,1.2936,0.06533,0.08451
72.0,0.8624,0.04479,0.03862
73.0,0.7546,0.04028,0.0304
74.0,0.8085,0.04435,0.03585
75.0,0.8085,0.04555,0.03683
76.0,0.6468,0.03742,0.0242
77.0,0.539,0.03201,0.01725
78.0,0.3773,0.02299,0.00867
79.0,0.4851,0.03032,0.01471
80.0,0.4312,0.02764,0.01192
81.0,0.3234,0.02125,0.00687
82.0,0.3234,0.02177,0.00704
83.0,0.1617,0.01115,0.0018
84.0,0.2156,0.01523,0.00328
85.0,0.2156,0.0156,0.00336
86.0,0.1617,0.01197,0.00194
87.0,0.0539,0.00408,0.00022
88.0,0.0539,0.00418,0.00023
89.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
0.0,14.6069,0.00133,0.0194
1.0,14.4991,0.00146,0.02121
2.0,13.7984,0.00181,0.02492
3.0,12.7204,0.0023,0.02927
4.0,10.8339,0.00272,0.02945
5.0,8.8396,0.00301,0.02664
6.0,7.8155,0.00352,0.02754
7.0,7.3843,0.00429,0.03168
8.0,7.0609,0.00516,0.03644
9.0,7.0609,0.00636,0.04492
10.0,7.1687,0.00782,0.05606
11.0,6.9531,0.00905,0.06289
12.0,7.546,0.01155,0.08717
13.0,6.468,0.01152,0.0745
14.0,6.5758,0.01349,0.08868
15.0,6.5758,0.01539,0.10122
16.0,6.5219,0.01729,0.11276
17.0,6.0907,0.01816,0.11058
18.0,6.1985,0.02065,0.12798
19.0,5.4978,0.02035,0.11186
20.0,5.8751,0.02403,0.14121
21.0,5.4439,0.0245,0.13339
22.0,5.4978,0.02711,0.14904
23.0,5.7673,0.03103,0.17898
24.0,5.1744,0.03027,0.15665
25.0,5.1744,0.03281,0.16977
26.0,4.7432,0.0325,0.15413
27.0,5.2283,0.03859,0.20176
28.0,4.3659,0.03463,0.15117
29.0,4.2581,0.0362,0.15413
30.0,4.3659,0.03969,0.17328
31.0,3.8269,0.03712,0.14207
32.0,4.2581,0.04399,0.18731
33.0,3.8269,0.04202,0.16082
34.0,3.234,0.03768,0.12185
35.0,3.6652,0.04523,0.16578
36.0,3.5574,0.04643,0.16516
37.0,2.7489,0.03788,0.10413
38.0,3.0184,0.04386,0.13239
39.0,3.0184,0.04618,0.1394
40.0,2.5872,0.04163,0.10771
41.0,3.0723,0.05192,0.15953
42.0,3.1262,0.05543,0.17329
43.0,2.8567,0.05308,0.15163
44.0,2.4794,0.04823,0.11957
45.0,2.9106,0.0592,0.17232
46.0,2.4255,0.05154,0.12502
47.0,2.4255,0.0538,0.13049
48.0,2.1021,0.04862,0.10221
49.0,2.4255,0.05846,0.14179
50.0,2.3177,0.05815,0.13478
51.0,2.3177,0.06049,0.14021
52.0,1.8326,0.04972,0.09112
53.0,1.8326,0.05164,0.09464
54.0,1.617,0.0473,0.07648
55.0,1.6709,0.0507,0.08471
56.0,1.6709,0.05255,0.08781
57.0,1.3475,0.0439,0.05916
58.0,1.5631,0.05272,0.08241
59.0,1.2936,0.04515,0.0584
60.0,1.1858,0.0428,0.05075
61.0,0.9702,0.03619,0.03511
62.0,1.0241,0.03946,0.04041
63.0,1.078,0.04288,0.04623
64.0,1.0241,0.04204,0.04305
65.0,1.2397,0.05249,0.06507
66.0,0.8624,0.03764,0.03246
67.0,0.8624,0.03879,0.03345
68.0,0.6468,0.02997,0.01938
69.0,0.5929,0.02828,0.01677
70.0,0.9163,0.04498,0.04122
71.0,0.4851,0.0245,0.01188
72.0,0.8085,0.04199,0.03395
73.0,0.4312,0.02302,0.00993
74.0,0.3773,0.0207,0.00781
75.0,0.2156,0.01215,0.00262
76.0,0.3773,0.02183,0.00824
77.0,0.3234,0.0192,0.00621
78.0,0.4312,0.02627,0.01133
79.0,0.3234,0.02021,0.00654
80.0,0.5929,0.038,0.02253
81.0,0.2695,0.01771,0.00477
82.0,0.2695,0.01815,0.00489
83.0,0.3234,0.02231,0.00721
84.0,0.3773,0.02666,0.01006
85.0,0.2156,0.0156,0.00336
86.0,0.1078,0.00798,0.00086
87.0,0.1078,0.00817,0.00088
88.0,0.1078,0.00836,0.0009
89.0,0.0539,0.00427,0.00023
