duty,voltage,current,power
0.0,12.1275,0.0011,0.01337
1.0,11.858,0.0012,0.01419
2.0,10.4566,0.00137,0.01431
3.0,8.5162,0.00154,0.01312
4.0,4.312,0.00108,0.00467
5.0,4.6354,0.00158,0.00733
6.0,4.312,0.00194,0.00838
7.0,4.4737,0.0026,0.01163
8.0,4.2042,0.00307,0.01292
9.0,4.4737,0.00403,0.01803
10.0,4.2042,0.00459,0.01928
11.0,4.0425,0.00526,0.02126
12.0,4.2581,0.00652,0.02776
13.0,3.8269,0.00682,0.02608
14.0,3.773,0.00774,0.0292
15.0,3.9886,0.00934,0.03724
16.0,3.6652,0.00972,0.03561
17.0,3.5574,0.0106,0.03772
18.0,3.6652,0.01221,0.04475
19.0,3.3957,0.01257,0.04267
20.0,3.1801,0.01301,0.04137
21.0,2.9645,0.01334,0.03956
22.0,3.0184,0.01488,0.04492
23.0,3.1262,0.01682,0.05259
24.0,2.8567,0.01671,0.04775
25.0,2.9645,0.0188,0.05573
26.0,2.6411,0.01809,0.04779
27.0,2.5872,0.0191,0.0494
28.0,2.2099,0.01753,0.03873
29.0,2.4255,0.02062,0.05001
30.0,2.3716,0.02156,0.05113
31.0,2.156,0.02092,0.04509
32.0,2.0482,0.02116,0.04334
33.0,2.0482,0.02249,0.04607
34.0,2.156,0.02512,0.05416
35.0,1.7787,0.02195,0.03904
36.0,1.6709,0.02181,0.03644
37.0,1.8326,0.02525,0.04628
38.0,1.7787,0.02585,0.04597
39.0,1.8326,0.02804,0.05139
40.0,2.1021,0.03382,0.0711
41.0,1.8865,0.03188,0.06015
42.0,1.3475,0.02389,0.0322
43.0,1.617,0.03005,0.04858
44.0,1.5631,0.0304,0.04752
45.0,1.2936,0.02631,0.03404
46.0,1.5631,0.03322,0.05192
47.0,1.3475,0.02989,0.04028
48.0,1.2397,0.02868,0.03555
49.0,1.1319,0.02728,0.03088
50.0,1.3475,0.03381,0.04556
51.0,1.2397,0.03236,0.04011
52.0,1.1858,0.03217,0.03815
53.0,0.9163,0.02582,0.02366
54.0,0.8624,0.02523,0.02175
55.0,0.7546,0.0229,0.01728
56.0,0.8624,0.02712,0.02339
57.0,0.8624,0.0281,0.02423
58.0,0.7007,0.02364,0.01656
59.0,0.9163,0.03198,0.0293
60.0,0.539,0.01945,0.01049
61.0,0.9702,0.03619,0.03511
62.0,0.4851,0.01869,0.00907
63.0,0.7546,0.03002,0.02265
64.0,0.6468,0.02655,0.01717
65.0,0.5929,0.0251,0.01488
66.0,0.7546,0.03294,0.02486
67.0,0.4312,0.0194,0.00836
68.0,0.6468,0.02997,0.01938
69.0,0.539,0.02571,0.01386
70.0,0.3773,0.01852,0.00699
71.0,0.2695,0.01361,0.00367
72.0,0.3234,0.01679,0.00543
73.0,0.2695,0.01439,0.00388
74.0,0.2156,0.01183,0.00255
75.0,0.1617,0.00911,0.00147
76.0,0.3234,0.01871,0.00605
77.0,0.1617,0.0096,0.00155
78.0,0.1078,0.00657,0.00071
79.0,0.0539,0.00337,0.00018
80.0,0.0539,0.00345,0.00019
81.0,0.0539,0.00354,0.00019
82.0,0.0539,0.00363,0.0002
83.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0
85.0,0.0539,0.0039,0.00021
86.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
