duty,voltage,current,power
0.0,16.709,0.00152,0.02538
1.0,16.709,0.00169,0.02817
2.0,16.5473,0.00217,0.03584
3.0,16.2778,0.00294,0.04793
4.0,15.7388,0.00395,0.06215
5.0,14.6608,0.005,0.07327
6.0,13.5289,0.0061,0.08253
7.0,11.1573,0.00648,0.07231
8.0,12.3431,0.00902,0.11136
9.0,12.6126,0.01136,0.14331
10.0,11.2112,0.01223,0.13712
11.0,11.7502,0.01529,0.17961
12.0,11.4807,0.01758,0.20178
13.0,11.1573,0.01987,0.2217
14.0,12.0736,0.02476,0.29896
15.0,11.4268,0.02675,0.30566
16.0,11.0495,0.02929,0.32365
17.0,10.6183,0.03165,0.33609
18.0,10.8878,0.03627,0.39486
19.0,10.7261,0.0397,0.42579
20.0,10.6722,0.04366,0.46594
21.0,10.5644,0.04755,0.50233
22.0,10.0793,0.0497,0.50094
23.0,9.5403,0.05134,0.48976
24.0,10.0793,0.05897,0.59441
25.0,9.702,0.06152,0.59686
26.0,9.8098,0.06721,0.65928
27.0,9.9715,0.0736,0.73389
28.0,9.2169,0.0731,0.67374
29.0,9.3247,0.07927,0.73915
30.0,9.3247,0.08477,0.79045
31.0,9.2708,0.08994,0.83377
32.0,9.2169,0.09522,0.87762
33.0,8.6779,0.09529,0.82693
34.0,7.8155,0.09106,0.71166
35.0,7.546,0.09312,0.70272
36.0,7.2765,0.09496,0.69101
37.0,7.2226,0.09953,0.71889
38.0,7.4382,0.10808,0.80395
39.0,7.3843,0.11299,0.83433
40.0,6.7375,0.10841,0.73043
41.0,6.6297,0.11205,0.74284
42.0,6.5219,0.11564,0.75419
43.0,6.3602,0.11818,0.75164
44.0,5.929,0.11532,0.68376
45.0,5.9829,0.1217,0.7281
46.0,5.4978,0.11683,0.64233
47.0,5.6595,0.12553,0.71045
48.0,5.1744,0.11969,0.61932
49.0,4.2581,0.10262,0.43698
50.0,5.39,0.13524,0.72894
51.0,5.4439,0.14209,0.77353
52.0,5.1744,0.14039,0.72641
53.0,4.6893,0.13215,0.61969
54.0,4.2581,0.12455,0.53036
55.0,4.6354,0.14064,0.65193
56.0,4.4198,0.13901,0.61438
57.0,3.8269,0.12468,0.47715
58.0,3.234,0.10909,0.35278
59.0,4.0964,0.14297,0.58565
60.0,3.6113,0.13034,0.47068
61.0,2.7489,0.10254,0.28186
62.0,2.9645,0.11422,0.33862
63.0,2.695,0.10721,0.28893
64.0,2.4794,0.10178,0.25236
65.0,1.7787,0.07531,0.13396
66.0,2.2638,0.09882,0.2237
67.0,2.5872,0.11637,0.30108
68.0,2.9645,0.13735,0.40717
69.0,1.8326,0.08742,0.1602
70.0,2.156,0.10584,0.22819
71.0,2.0482,0.10344,0.21186
72.0,1.5631,0.08117,0.12688
